text,label
Pemerataan akses sekolah daerah di terpencil menjadi prioritas kementerian,1
reformasi birokrasi bertujuan menciptakan pemerintahan yang bersih dan melayani,2
nilai tukar rupiah menguat terhadap dolar berkat surplus neraca perdagangan,0
pendidikan karakter penting untuk membangun moral generasi penerus bangsa,1
Pasar saham mengalami koreksi akibat sentimen global yang negatif,0
pendidikan karakter penting untuk membangun moral generasi penerus bangsa,1
DPR mengesahkan undang-undang baru dalam rapat paripurna hari ini,2
Ujian nasional kini diganti dengan asesmen kompetensi minimum,1
Nilai tukar rupiah menguat terhadap dolar berkat surplus neraca perdagangan,0
isu politik identitas tidak boleh memecah belah persatuan bangsa,2
pemerataan akses sekolah di daerah terpencil menjadi prioritas kementerian,1
anggaran untuk beasiswa mahasiswa berprestasi akan ditambah tahun depan,1
Inflasi harus ditekan dengan kebijakan moneter yang ketat dari bank sentral,0
dpr mengesahkan undang-undang baru dalam rapat paripurna hari ini,2
Inflasi harus ditekan dengan kebijakan moneter yang ketat dari bank sentral,0
literasi digital harus diajarkan sejak dini di bangku sekolah dasar,1
harus Inflasi ditekan dengan kebijakan moneter yang ketat dari bank sentral,0
karakter pendidikan penting untuk membangun moral generasi penerus bangsa,1
Ekspor non-migas menjadi tulang punggung devisa negara saat ini,0
digitalisasi sistem qris pembayaran memudahkan transaksi pedagang kecil,0
Kurikulum merdeka belajar fleksibilitas memberikan bagi guru dan siswa,1
Perbaikan gedung sekolah dasar yang rusak harus segera dilaksanakan,1
Inflasi harus ditekan dengan kebijakan moneter ketat yang dari bank sentral,0
Ekspor non-migas menjadi tulang punggung devisa negara ini. saat,0
Stabilitas politik sangat penting menjelang pemilu tahun untuk kedamaian,2
Mahasiswa didorong untuk magang di industri melalui program Kampus Merdeka,1
dpr mengesahkan undang-undang baru dalam rapat paripurna hari ini,2
Digitalisasi sistem pembayaran QRIS memudahkan transaksi pedagang kecil,0
debat calon presiden berlangsung sengit dengan adu gagasan,2
perbaikan gedung sekolah dasar yang rusak harus segera dilaksanakan,1
Pelaku UMKM mendapatkan bantuan modal usaha dari pemerintah,0
Reformasi birokrasi bertujuan menciptakan pemerintahan yang bersih dan melayani,2
DPR mengesahkan undang-undang baru dalam rapat paripurna hari ini,2
calon debat presiden berlangsung sengit dengan adu gagasan,2
Debat calon presiden berlangsung sengit dengan gagasan. adu,2
Literasi digital harus diajarkan sejak dini di bangku sekolah dasar,1
anggaran untuk beasiswa mahasiswa berprestasi akan ditambah tahun depan,1
Literasi digital harus diajarkan sejak dini di bangku sekolah dasar,1
kita Demokrasi harus dijaga dengan partisipasi aktif warga dalam pengawasan,2
Pertumbuhan ekonomi kuartal ini didorong oleh ekspor komoditas yang kuat,0
pasar saham mengalami koreksi akibat sentimen global yang negatif,0
Kualitas guru harus ditingkatkan melalui pelatihan dan sertifikasi profesi,1
Partai politik mulai melakukan koalisi untuk memenangkan pilkada,2
nilai tukar rupiah menguat terhadap dolar berkat surplus neraca perdagangan,0
Kesejahteraan guru honorer perlahan mulai diperhatikan oleh pemerintah daerah,1
Pasar saham mengalami koreksi akibat sentimen global yang negatif,0
mahkamah konstitusi memutuskan sengketa hasil pemilihan umum,2
Harga bahan pokok di pasar tradisional terpantau stabil menjelang hari raya,0
anggaran untuk beasiswa berprestasi mahasiswa akan ditambah tahun depan,1
dpr mengesahkan baru undang-undang dalam rapat paripurna hari ini,2
ujian nasional kini diganti dengan asesmen kompetensi minimum,1
kualitas guru harus ditingkatkan melalui pelatihan dan sertifikasi profesi,1
kesejahteraan guru honorer perlahan mulai diperhatikan oleh pemerintah daerah,1
Ujian kini nasional diganti dengan asesmen kompetensi minimum,1
Nilai tukar rupiah menguat terhadap dolar berkat neraca surplus perdagangan,0
kampanye hitam di media sosial harus ditindak tegas oleh penegak hukum,2
Digitalisasi sistem pembayaran memudahkan QRIS transaksi pedagang kecil,0
Mahkamah Konstitusi memutuskan sengketa hasil pemilihan umum,2
kurikulum merdeka belajar memberikan fleksibilitas bagi guru dan siswa,1
reformasi birokrasi bertujuan menciptakan pemerintahan yang bersih dan melayani,2
kesejahteraan guru honorer perlahan mulai diperhatikan oleh pemerintah daerah,1
Isu politik identitas tidak boleh memecah belah persatuan bangsa,2
Ekspor non-migas menjadi tulang punggung devisa negara saat ini,0
Kualitas guru harus ditingkatkan melalui pelatihan dan sertifikasi profesi,1
Resesi global mengancam rantai industri pasok dalam negeri,0
pasar saham mengalami koreksi akibat sentimen global yang negatif,0
isu politik identitas tidak boleh memecah belah bangsa. persatuan,2
kualitas guru harus ditingkatkan melalui pelatihan dan sertifikasi profesi,1
kurikulum merdeka belajar memberikan fleksibilitas bagi guru dan siswa,1
